Counter Name,Phone,Location,City
Mohipal Counter (To Dhaka),01973-259540,Mohipal Bus Stand,Feni
Chauddagram Counter,01973-259612,Chauddagram Bazar,Cumilla
Sayedabad Counter,01973-259653,Sayedabad,Dhaka
Jatra Bari Counter,01973-259549,Jatra Bari,Dhaka
Mugda Counter,01973-259525,Mugda Bus Counter,Dhaka
Manink Nagar Counter,01973-259652,Manink Nagar Counter,Dhaka
TT Para Counter,01973-259410,TT Para,Dhaka
Airport Counter,01973-259512,Airport,Dhaka
Badda (Middle) Counter,01973-259516,"Madhya Badda, Uttara",Dhaka
Abdullapor Counter,01973-259514,Abdullapor Bus Stand,Dhaka
